date,time,user_id,action,subject
24/02/2025, 18:08:09,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:08:09,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:49,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:46,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:46,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:05:43,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:43,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:05:36,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:35,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:05:34,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:34,579db272-c0f0-490a-9482-fcbafc821281,read,role
24/02/2025, 18:05:33,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:32,579db272-c0f0-490a-9482-fcbafc821281,read,secret
24/02/2025, 18:05:32,579db272-c0f0-490a-9482-fcbafc821281,read,workspace
24/02/2025, 18:05:21,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:05:21,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:05:21,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:41,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:02:41,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:41,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:16,579db272-c0f0-490a-9482-fcbafc821281,read,workspace_user
24/02/2025, 18:02:13,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:13,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:13,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:13,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
24/02/2025, 18:02:13,579db272-c0f0-490a-9482-fcbafc821281,read,user_workspace_roles
